AbduKa00,Abdul-Jabbar,Karim,rb,1974,1996
AbduRa00,Abdullah,Rabih,rb,1975,1999
AberWa00,Abercrombie,Walter,rb,1959,1982
AbraDa00,Abramowicz,Danny,wr,1945,1967
AdamBo00,Adams,Bob,te,1946,1969
AdamCh00,Adams,Charlie,wr,1979,2003
AdamCu00,Adams,Curtis,rb,1962,1985
AdamGe00,Adams,George,rb,1962,1985
AdamGr00,Adams,Grant,wr,2000,2005
AdamJo00,Adams,John,rb,1937,1959
AdamMi00,Adams,Michael,wr,1974,1997
AdamMi01,Adamle,Mike,rb,1949,1971
AdamTo00,Adams,Tony,qb,1950,1975
AdamTo01,Adams,Tom,wr,1940,1962
AdamTo02,Adamle,Tony,rb,1924,1950
AdamWi00,Adams,Willie,wr,1956,1979
AddaJo00,Addai,Joseph,rb,1983,2006
AdkiJa00,Adkisson,James,te,1980,2005
AdkiMa00,Adkins,Margene,wr,1947,1970
AdkiSa00,Adkins,Sam,qb,1955,1977
AffhEr00,Affholter,Erik,wr,1966,1991
AgeeTo00,Agee,Tommie,rb,1964,1988
AikeSa00,Aiken,Sam,wr,1980,2003
AikmTr00,Aikman,Troy,qb,1966,1989
AkinFr00,Akins,Frank,rb,1919,1943
AlbeFr00,Albert,Frankie,qb,1920,1950
AldrBe00,Aldridge,Bennie,rb,1926,1950
AlexCh00,Alexander,Charles,rb,1957,1979
AlexDe00,Alexander,Derrick,wr,1971,1994
AlexGl00,Alexander,Glenn,wr,1947,1970
AlexJe00,Alexander,Jeff,rb,1965,1989
AlexKe00,Alexander,Kevin,wr,1975,1996
AlexMi00,Alexander,Mike,wr,1965,1989
AlexRa00,Alexander,Ray,wr,1962,1984
AlexRi00,Alexis,Rich,rb,1981,2005
AlexSh00,Alexander,Shaun,rb,1977,2000
AlexSt00,Alexander,Stephen,te,1975,1998
AlfoBr00,Alford,Brian,wr,1975,1998
AlfoBr01,Alford,Bruce,wr,1922,1950
AlleAn00,Allen,Anthony,wr,1959,1985
AlleBu00,Allen,Buddy,rb,1937,1961
AlleDa00,Allen,David,rb,1978,2003
AlleDo00,Alley,Don,wr,1945,1967
AlleDo01,Allen,Don,rb,1937,1960
AlleDu00,Allen,Duane,te,1937,1961
AlleJa00,Allen,James,rb,1975,1998
AlleJa01,Allen,Jared,qb,1981,2005
AlleJe00,Allen,Jerry,rb,1941,1966
AlleMa00,Allen,Marcus,rb,1960,1982
AlleMa01,Allen,Marvin,rb,1965,1988
AlleTe00,Allen,Terry,rb,1968,1991
